Date,SP_500,Gold
1/1/1971, 100.000 , 100.000 
2/1/1971, 100.907 , 102.239 
3/1/1971, 104.620 , 102.654 
4/1/1971, 108.417 , 102.992 
5/1/1971, 103.911 , 106.932 
6/1/1971, 102.941 , 105.907 
7/1/1971, 99.687 , 108.083 
8/1/1971, 103.285 , 112.818 
9/1/1971, 102.566 , 110.848 
10/1/1971, 98.279 , 112.161 
11/1/1971, 98.029 , 113.135 
12/1/1971, 106.477 , 114.754 
1/1/1972, 108.406 , 120.524 
2/1/1972, 111.149 , 127.382 
3/1/1972, 111.806 , 127.517 
4/1/1972, 112.297 , 129.466 
5/1/1972, 114.237 , 143.921 
6/1/1972, 111.744 , 164.176 
7/1/1972, 112.005 , 173.122 
8/1/1972, 115.864 , 176.711 
9/1/1972, 115.300 , 173.204 
10/1/1972, 116.375 , 171.184 
11/1/1972, 121.683 , 165.644 
12/1/1972, 123.123 , 168.425 
1/1/1973, 121.016 , 171.984 
2/1/1973, 116.479 , 195.339 
3/1/1973, 116.312 , 222.100 
4/1/1973, 111.567 , 238.832 
5/1/1973, 109.460 , 268.361 
6/1/1973, 108.740 , 316.362 
7/1/1973, 112.870 , 317.851 
8/1/1973, 108.730 , 280.514 
9/1/1973, 113.089 , 272.087 
10/1/1973, 112.943 , 263.872 
11/1/1973, 100.083 , 249.934 
12/1/1973, 101.742 , 280.543 
1/1/1974, 100.720 , 340.728 
2/1/1974, 100.355 , 396.113 
3/1/1974, 98.018 , 444.433 
4/1/1974, 94.191 , 454.851 
5/1/1974, 91.030 , 431.943 
6/1/1974, 89.695 , 406.710 
7/1/1974, 82.718 , 375.734 
8/1/1974, 75.250 , 407.632 
9/1/1974, 66.270 , 400.496 
10/1/1974, 77.076 , 418.646 
11/1/1974, 72.977 , 479.252 
12/1/1974, 71.506 , 485.061 
1/1/1975, 80.288 , 467.054 
2/1/1975, 85.096 , 474.155 
3/1/1975, 86.942 , 470.590 
4/1/1975, 91.051 , 449.102 
5/1/1975, 95.067 , 441.779 
6/1/1975, 99.280 , 433.744 
7/1/1975, 92.564 , 435.373 
8/1/1975, 90.613 , 430.886 
9/1/1975, 87.474 , 381.090 
10/1/1975, 92.866 , 376.812 
11/1/1975, 95.161 , 376.479 
12/1/1975, 94.066 , 367.801 
1/1/1976, 105.194 , 347.774 
2/1/1976, 103.995 , 345.780 
3/1/1976, 107.186 , 350.364 
4/1/1976, 106.008 , 337.779 
5/1/1976, 104.485 , 335.146 
6/1/1976, 108.761 , 331.900 
7/1/1976, 107.885 , 311.255 
8/1/1976, 107.332 , 290.628 
9/1/1976, 109.762 , 301.305 
10/1/1976, 107.322 , 306.578 
11/1/1976, 106.487 , 344.198 
12/1/1976, 112.078 , 353.000 
1/1/1977, 106.414 , 349.387 
2/1/1977, 104.109 , 359.573 
3/1/1977, 102.649 , 391.727 
4/1/1977, 102.670 , 393.958 
5/1/1977, 100.250 , 386.965 
6/1/1977, 104.798 , 371.892 
7/1/1977, 103.098 , 378.639 
8/1/1977, 100.928 , 382.933 
9/1/1977, 100.678 , 394.354 
10/1/1977, 96.308 , 419.478 
11/1/1977, 98.905 , 428.150 
12/1/1977, 99.186 , 423.788 
1/1/1978, 93.085 , 457.397 
2/1/1978, 90.780 , 471.005 
3/1/1978, 93.043 , 485.294 
4/1/1978, 100.991 , 462.985 
5/1/1978, 101.418 , 465.274 
6/1/1978, 99.635 , 485.267 
7/1/1978, 105.006 , 497.964 
8/1/1978, 107.728 , 545.196 
9/1/1978, 106.946 , 560.399 
10/1/1978, 97.153 , 600.592 
11/1/1978, 98.769 , 546.852 
12/1/1978, 100.240 , 548.999 
1/1/1979, 104.224 , 599.414 
2/1/1979, 100.417 , 648.542 
3/1/1979, 105.955 , 639.981 
4/1/1979, 106.133 , 631.599 
5/1/1979, 103.338 , 680.622 
6/1/1979, 107.332 , 737.721 
7/1/1979, 108.271 , 779.046 
8/1/1979, 114.018 , 794.320 
9/1/1979, 114.018 , 936.141 
10/1/1979, 106.195 ," 1,032.426 "
11/1/1979, 110.722 ," 1,033.902 "
12/1/1979, 112.578 ," 1,224.427 "
1/1/1980, 119.066 ," 1,781.399 "
2/1/1980, 118.544 ," 1,758.458 "
3/1/1980, 106.477 ," 1,463.706 "
4/1/1980, 110.857 ," 1,364.503 "
5/1/1980, 116.020 ," 1,358.054 "
6/1/1980, 119.149 ," 1,586.527 "
7/1/1980, 126.898 ," 1,705.266 "
8/1/1980, 127.639 ," 1,654.061 "
9/1/1980, 130.851 ," 1,779.711 "
10/1/1980, 132.947 ," 1,748.891 "
11/1/1980, 146.558 ," 1,647.499 "
12/1/1980, 141.594 ," 1,575.768 "
1/1/1981, 135.117 ," 1,473.046 "
2/1/1981, 136.911 ," 1,322.489 "
3/1/1981, 141.844 ," 1,319.565 "
4/1/1981, 138.517 ," 1,311.464 "
5/1/1981, 138.287 ," 1,268.395 "
6/1/1981, 136.848 ," 1,216.066 "
7/1/1981, 136.546 ," 1,080.818 "
8/1/1981, 128.066 ," 1,083.342 "
9/1/1981, 121.172 ," 1,171.894 "
